provider,dataProvider,title,collection,description,creator,publisher,contributor,type,identifier,language,temporal,spatial,subject,date,extent,format,standardizedRights,relation,isShownAt,preview,count
South Carolina Digital Library,SCSP,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7264150943396226,0.0,1.0,0.0,0.0,1.0,1.0,106
South Carolina Digital Library,University of North Carolina. The Wilson Library,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9855072463768116,0.0,0.9565217391304348,0.9855072463768116,1.0,0.0,1.0,0.0,1.0,1.0,1.0,69
The Portal to Texas History,Cleng Peerson Research Library at the Bosque Museum,1.0,1.0,1.0,1.0,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.0,0.9166666666666666,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,24
The Portal to Texas History,Marshall Public Library,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9959568733153639,0.0,0.9959568733153639,1.0,0.11994609164420485,0.0,1.0,0.0,0.0026954177897574125,1.0,1.0,742
The Portal to Texas History,Pearce Museum at Navarro College,1.0,1.0,1.0,0.543026706231454,0.002967359050445104,0.456973293768546,1.0,1.0,1.0,0.0,1.0,1.0,0.5222551928783383,0.0,1.0,0.0,0.8991097922848664,1.0,1.0,1011
The Portal to Texas History,Texas Chapter of the American Fisheries Society,1.0,1.0,1.0,1.0,0.3700787401574803,0.0,1.0,1.0,0.3700787401574803,0.0,1.0,1.0,0.9291338582677166,0.0,1.0,0.0,0.0,1.0,1.0,127
Big Sky Country Digital Network,"Carroll College, Helena, Montana",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,41
Big Sky Country Digital Network,Hobson Library,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,27
Biodiversity Heritage Library,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),1.0,0.0,0.8971428571428571,0.8228571428571428,0.9942857142857143,0.21142857142857144,1.0,1.0,0.9828571428571429,0.0,0.9657142857142857,0.9828571428571429,0.9942857142857143,0.0,1.0,0.0,0.0,1.0,1.0,175
Biodiversity Heritage Library,Pacific Seabird Group,1.0,0.0,1.0,1.0,1.0,0.012658227848101266,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9873417721518988,1.0,1.0,79
Biodiversity Heritage Library,San Diego Zoo Global Library & Archives,1.0,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.13333333333333333,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.8666666666666667,0.0,1.0,0.0,0.9333333333333333,1.0,1.0,30
Biodiversity Heritage Library,Western Carolina Botanical Club,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1875,1.0,1.0,0.0,1.0,0.0,0.1875,1.0,1.0,16
California Digital Library,Lambda Archives of San Diego,1.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.022222222222222223,1.0,0.32222222222222224,180
California Digital Library,"UC San Francisco, H.M. Fishbon Memorial Library",1.0,1.0,0.576530612244898,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5748299319727891,0.0,0.0,0.0,0.0,1.0,1.0,588
Digital Commonwealth,Canadian Lesbian and Gay Archives,1.0,1.0,0.125,1.0,0.975,0.875,1.0,0.0,1.0,0.525,0.65,1.0,0.875,0.0,1.0,0.0,1.0,1.0,1.0,40
Digital Commonwealth,WFMU,1.0,1.0,1.0,0.9411764705882353,0.0,0.8823529411764706,1.0,0.0,0.0,0.0,0.0,1.0,0.7058823529411765,1.0,1.0,0.0,1.0,1.0,1.0,17
Digital Commonwealth,"Weymouth Public Libraries, Tufts Library",1.0,1.0,1.0,0.323397913561848,0.007451564828614009,0.038748137108792845,1.0,1.0,0.13263785394932937,0.0,0.7034277198211625,0.9821162444113264,1.0,1.0,1.0,0.0,1.0,1.0,1.0,671
Digital Library of Tennessee,Cheekwood Botanical Garden & Museum of Art;,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
